date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:11	297748/297748	---M-Z	200	added ('OK')	text/html	etag:%22a7a815c64de3cac911badfbc1f8dcb4b%22	https://best-squircle-911327.framer.app/	C:/Users/aysha/OneDrive/Desktop/framerrr/best-squircle-911327.framer.app/index.html	(from )
18:35:11	104/104	---M-Z	200	added ('OK')	text/plain	etag:%2298337b1a064f628220c2af4eb1580eac%22	https://best-squircle-911327.framer.app/robots.txt		(from )
18:35:11	2357/2357	---MC-	200	added ('OK')	image/png	etag:%22bd4e334523fcb664cb6481b61adbccd7%22	https://framerusercontent.com/images/5F0FeDT4YrDfZnoKxjdxG3VEZP8.png	C:/Users/aysha/OneDrive/Desktop/framerrr/framerusercontent.com/images/5F0FeDT4YrDfZnoKxjdxG3VEZP8.png	(from https://best-squircle-911327.framer.app/)
18:35:12	860984/860984	---MC-	200	added ('OK')	image/png	etag:%22533704c231dc065627ba6e38ed8fd5f4%22	https://framerusercontent.com/images/tO7g6faoTM092Qn4nAmrCZNGoIk.png	C:/Users/aysha/OneDrive/Desktop/framerrr/framerusercontent.com/images/tO7g6faoTM092Qn4nAmrCZNGoIk.png	(from https://best-squircle-911327.framer.app/)
18:35:12	9150/9150	---MC-	200	added ('OK')	image/png	etag:%227acf7f26509ddb4ebf440cb557d67f02%22	https://framerusercontent.com/images/wouMB1DvcF5yaU86NicmaOBxo.png	C:/Users/aysha/OneDrive/Desktop/framerrr/framerusercontent.com/images/wouMB1DvcF5yaU86NicmaOBxo.png	(from https://best-squircle-911327.framer.app/)
18:35:13	8561/8561	---MC-	200	added ('OK')	image/png	etag:%222e18d8390d4561e9586b4632060852a6%22	https://framerusercontent.com/images/tqRAEicPikaAp7Fm4EMvvdwY.png	C:/Users/aysha/OneDrive/Desktop/framerrr/framerusercontent.com/images/tqRAEicPikaAp7Fm4EMvvdwY.png	(from https://best-squircle-911327.framer.app/)
18:35:13	595006/595006	---MC-	200	added ('OK')	image/jpeg	etag:%221b418a4709d6e88c9348df3616f6a60c%22	https://framerusercontent.com/images/zUCpvYX3n9luFecBTHKSKc8N8XA.jpg	C:/Users/aysha/OneDrive/Desktop/framerrr/framerusercontent.com/images/zUCpvYX3n9luFecBTHKSKc8N8XA.jpg	(from https://best-squircle-911327.framer.app/)
18:35:13	22117/22117	---MC-	200	added ('OK')	image/png	etag:%220f13414a31b0298904fa9ea60e4c604e%22	https://framerusercontent.com/images/HqKIpWnbp3cCh0Lo5bBFQmXo9eM.png	C:/Users/aysha/OneDrive/Desktop/framerrr/framerusercontent.com/images/HqKIpWnbp3cCh0Lo5bBFQmXo9eM.png	(from https://best-squircle-911327.framer.app/)
18:35:13	6994/6994	---MC-	200	added ('OK')	image/png	etag:%22d16bfed1147894be0948ea0e5504bfc4%22	https://framerusercontent.com/images/dpOuTS2VOrdYgFgq481IsORFZrk.png	C:/Users/aysha/OneDrive/Desktop/framerrr/framerusercontent.com/images/dpOuTS2VOrdYgFgq481IsORFZrk.png	(from https://best-squircle-911327.framer.app/)
18:35:13	19162/19162	---MC-	200	added ('OK')	image/png	etag:%22f5c60620addd83a2918b8d1a44417c0b%22	https://framerusercontent.com/images/vzbBXLHxraaoov5TutZ17DSXeXA.png	C:/Users/aysha/OneDrive/Desktop/framerrr/framerusercontent.com/images/vzbBXLHxraaoov5TutZ17DSXeXA.png	(from https://best-squircle-911327.framer.app/)
18:35:14	103713/103713	---MC-	200	added ('OK')	image/png	etag:%22ff6b0dbdecda04c8661967af4cd41e6a%22	https://framerusercontent.com/images/6DYbkkwAn339ciflFaKADf5AOU.png	C:/Users/aysha/OneDrive/Desktop/framerrr/framerusercontent.com/images/6DYbkkwAn339ciflFaKADf5AOU.png	(from https://best-squircle-911327.framer.app/)
18:35:14	511250/511250	---MC-	200	added ('OK')	image/png	etag:%226d179dd742e1dbe7a69c58911a4f81b9%22	https://framerusercontent.com/images/QxNbDH17lJY3YXbsnMRmDaz6v9M.png	C:/Users/aysha/OneDrive/Desktop/framerrr/framerusercontent.com/images/QxNbDH17lJY3YXbsnMRmDaz6v9M.png	(from https://best-squircle-911327.framer.app/)
18:35:14	181429/181429	---MC-	200	added ('OK')	image/jpeg	etag:%22fe59938d4b93725b24b9f9ebcb3f87df%22	https://framerusercontent.com/images/As41k5ebJ77RwYaKNL0x464ThPU.jpeg	C:/Users/aysha/OneDrive/Desktop/framerrr/framerusercontent.com/images/As41k5ebJ77RwYaKNL0x464ThPU.jpg	(from https://best-squircle-911327.framer.app/)
